iter	RMSE
329	56163.4608
330	56139.15051
331	56113.40648
332	56099.00852
333	56064.10756
334	56049.00406
335	56019.97482
336	55985.13975
337	55959.40695
338	55932.23567
339	55924.04544
340	55889.12277
341	55837.06781
342	55801.67893
343	55776.22929
344	55742.18343
345	55717.466
346	55690.16809
347	55678.75689
348	55634.49732
349	55617.28823
350	55582.34432
351	55545.76018
352	55531.66386
353	55503.29418
354	55482.48039
355	55428.58461
356	55414.75959
357	55402.24164
358	55385.2589
359	55373.78218
360	55369.05183
361	55346.67535
362	55304.03323
363	55280.27561
364	55260.95704
365	55246.59231
366	55226.35002
367	55210.2484
368	55192.02852
369	55177.49177
370	55150.66439
371	55082.71631
372	55066.77016
373	55006.23567
374	54998.36358
375	54980.81869
376	54968.75374
377	54947.51673
378	54933.59995
379	54930.31218
380	54903.71521
381	54861.65095
382	54828.53706
383	54780.12513
384	54763.0671
385	54744.14931
386	54737.18879
387	54708.1625
388	54662.56251
389	54632.66639
390	54608.04261
391	54567.96828
392	54539.44975
393	54509.14631
394	54497.24159
395	54452.05425
396	54420.14605
397	54391.38238
398	54366.16975
399	54354.18238
400	54300.43088
401	54287.67227
402	54283.30553
403	54257.50008
404	54236.76376
405	54187.77569
406	54157.1304
407	54113.3857
408	54090.64898
409	54085.56359
410	54067.85016
411	54053.58664
412	54043.06326
413	54039.09468
414	54023.68588
415	54012.04351
416	53994.30999
417	53942.08257
418	53911.13185
419	53887.13304
420	53877.37939
421	53857.83395
422	53845.02415
423	53833.43165
424	53817.83564
425	53808.15171
426	53796.94953
427	53776.70735
428	53760.9678
429	53708.19347
430	53697.73827
431	53652.26946
432	53646.54938
433	53615.44708
434	53558.60831
435	53545.70937
436	53524.06994
437	53518.61266
438	53502.17025
439	53492.31579
440	53470.35812
441	53459.74073
442	53447.03351
443	53437.70527
444	53412.21345
445	53400.52375
446	53392.62413
447	53370.14164
448	53328.68859
449	53301.5788
450	53292.6186
451	53277.72944
452	53258.84881
453	53240.19438
454	53210.42782
455	53204.1508
456	53161.11657
457	53152.38162
458	53135.28017
459	53102.32414
460	53093.45535
461	53076.65436
462	53070.2847
463	53030.28429
464	53011.95275
465	52998.13211
466	52976.15838
467	52942.59862
468	52922.96327
469	52888.35157
470	52874.16291
471	52866.42491
472	52851.01683
473	52832.68657
474	52824.93747
475	52800.633
476	52766.99987
477	52742.54068
478	52725.83973
479	52686.22477
480	52677.39491
481	52673.39482
482	52651.59669
483	52617.40037
484	52604.97385
485	52577.33872
486	52550.58756
487	52541.85926
488	52534.19128
489	52514.39645
490	52495.8839
491	52478.25418
492	52434.18157
493	52419.14956
494	52401.67389
495	52371.48244
496	52318.84699
497	52312.81064
498	52304.65673
499	52289.10132
500	52278.95624
501	52265.98539
502	52245.38824
503	52236.89775
504	52226.16157
505	52218.26961
506	52212.08611
507	52206.16929
508	52188.48137
509	52161.1016
510	52146.35921
511	52125.83149
512	52098.17882
513	52088.8865
514	52061.49139
515	52050.17032
516	52035.53696
517	52024.23155
518	52002.25326
519	51995.20678
520	51959.65383
521	51946.77542
522	51909.28864
523	51905.69169
524	51884.90612
525	51858.89222
526	51847.86996
527	51835.44528
528	51807.73494
529	51794.3204
530	51757.30817
531	51733.46477
532	51698.14495
533	51688.97323
534	51677.67122
535	51669.78758
536	51656.68594
537	51632.64252
538	51620.96811
539	51600.26547
540	51577.24591
541	51564.92355
542	51559.78514
543	51552.09693
544	51537.75256
545	51514.59161
546	51493.90821
547	51485.08316
548	51456.93195
549	51446.78956
550	51406.13594
551	51385.10654
552	51373.50823
553	51369.23916
554	51360.46963
555	51355.70064
556	51348.54257
557	51339.49522
558	51319.28964
559	51302.56189
560	51283.81732
561	51276.61827
562	51268.72239
563	51263.32664
564	51244.85573
565	51233.48255
566	51215.03997
567	51210.42205
568	51186.12575
569	51174.34497
570	51156.51685
571	51138.5651
572	51133.2319
573	51122.24503
574	51112.58268
575	51094.48023
576	51074.66929
577	51032.99015
578	51026.61377
579	51019.3751
580	51009.74771
581	51002.64788
582	50996.83987
583	50991.54515
584	50965.26655
585	50940.74373
586	50930.88566
587	50926.20406
588	50914.71618
589	50910.27282
590	50882.23956
591	50857.63245
592	50839.13179
593	50807.46734
594	50788.96263
595	50779.76445
596	50773.8878
597	50758.24127
598	50752.28007
599	50734.39022
600	50701.33304
601	50664.04955
602	50648.18011
603	50643.26563
604	50606.9874
605	50592.00242
606	50549.27906
607	50536.09553
608	50513.73721
609	50506.16806
610	50491.12135
611	50474.68716
612	50440.41452
613	50432.90751
614	50424.98523
615	50420.10521
616	50409.79613
617	50380.73809
618	50365.8006
619	50352.99254
620	50335.25231
621	50321.92972
622	50311.92579
623	50291.9552
624	50269.74289
625	50262.80636
626	50259.30633
627	50253.60889
628	50238.77971
629	50227.93172
630	50214.95455
631	50204.63362
632	50181.65889
633	50171.13513
634	50160.77444
635	50147.41424
636	50138.67731
637	50115.2417
638	50084.86442
639	50078.47371
640	50054.6784
641	50035.47259
642	50025.95305
643	50020.86455
644	50007.27239
645	49981.98733
646	49966.66911
647	49948.66792
648	49930.42193
649	49921.33913
650	49910.2164
651	49897.11885
652	49881.88152
653	49868.53012
654	49849.28114
655	49844.94696
656	49832.84383
657	49819.77559
658	49808.00547
659	49794.28177
660	49790.50897
661	49783.08678
662	49772.71006
663	49769.29313
664	49760.01541
665	49750.05962
666	49743.68527
667	49735.83742
668	49726.1487
669	49716.65915
670	49712.49285
671	49683.14512
672	49655.01552
673	49632.99145
674	49623.10152
675	49603.71328
676	49596.12828
677	49581.93617
678	49573.82377
679	49568.58449
680	49551.7975
681	49544.96821
682	49535.19653
683	49524.88474
684	49517.31457
685	49512.6811
686	49493.84947
687	49490.51431
688	49479.85369
689	49471.16545
690	49436.03881
691	49417.56293
692	49410.13233
693	49386.40899
694	49382.5197
695	49375.87077
696	49362.09391
697	49356.02036
698	49347.49322
699	49340.17393
700	49337.04899
701	49330.66057
702	49322.75147
703	49318.43674
704	49308.102
705	49303.20205
706	49295.56372
707	49287.75704
708	49268.80459
709	49262.38518
710	49251.95841
711	49235.78725
712	49226.55199
713	49205.17015
714	49185.67859
715	49177.51324
716	49175.28962
717	49167.20486
718	49144.12181
719	49131.54834
720	49126.0538
721	49111.09342
722	49106.32263
723	49100.72527
724	49097.48306
725	49085.88823
726	49059.77901
727	49048.58669
728	49039.21019
729	49029.69375
730	49020.10579
731	49010.90849
732	48998.4399
733	48983.23011
734	48979.80373
735	48969.57922
736	48962.58455
737	48947.26571
738	48941.39948
739	48934.14884
740	48927.69362
741	48918.97435
742	48912.8415
743	48903.88415
744	48899.98013
745	48889.19458
746	48883.80902
747	48866.25012
748	48862.95021
749	48853.72961
750	48846.99006
751	48827.61323
752	48798.09086
753	48790.13156
754	48779.5502
755	48767.69192
756	48749.39395
757	48739.09216
758	48732.14136
759	48707.6538
760	48697.56455
761	48682.47702
762	48673.78375
763	48667.63771
764	48658.20177
765	48651.40277
766	48643.749
767	48629.77145
768	48621.97135
769	48589.72129
770	48586.27728
771	48572.09976
772	48566.07566
773	48544.82431
774	48532.32267
775	48523.29165
776	48520.17506
777	48504.81701
778	48502.29401
779	48489.96362
780	48475.33244
781	48467.40436
782	48459.49604
783	48450.17645
784	48437.3237
785	48418.05027
786	48408.00964
787	48393.70824
788	48386.5564
789	48383.14109
790	48352.81054
791	48328.27282
792	48314.05934
793	48308.06177
794	48299.39611
795	48290.52969
796	48286.19124
797	48274.04443
798	48270.27209
799	48257.79381
800	48251.11786
801	48238.1347
802	48230.90925
803	48224.82842
804	48217.95226
805	48210.4045
806	48204.84305
807	48201.51843
808	48196.49006
809	48176.93906
810	48156.1259
811	48150.66336
812	48124.77253
813	48122.51458
814	48115.59976
815	48104.00552
816	48098.12102
817	48082.26887
818	48075.8728
819	48069.39126
820	48058.37577
821	48049.71492
822	48045.92657
823	48034.48778
824	48016.82789
825	48005.58564
826	47998.52452
827	47989.1456
828	47983.99967
829	47970.18224
830	47959.66116
831	47954.43657
832	47940.13461
833	47930.68219
834	47916.54215
835	47912.29349
836	47904.61572
837	47894.89397
838	47882.88643
839	47879.24612
840	47873.04618
841	47870.03096
842	47858.89938
843	47848.31167
844	47843.95847
845	47838.87211
846	47832.96545
847	47822.007
848	47817.60981
849	47811.08431
850	47806.49278
851	47795.06665
852	47788.86416
853	47767.08585
854	47760.27865
855	47756.58921
856	47751.26106
857	47727.24781
858	47722.42482
859	47713.74632
860	47710.44827
861	47703.99692
862	47692.01435
863	47682.32156
864	47677.92725
865	47658.82846
866	47655.60584
867	47648.18845
868	47636.27145
869	47631.31769
870	47628.09109
871	47623.07489
872	47614.43074
873	47600.62004
874	47589.97579
875	47573.24711
876	47561.78959
877	47555.17836
878	47549.13194
879	47535.21287
880	47531.80918
881	47528.21354
882	47512.5404
883	47503.35372
884	47498.36936
885	47468.94667
886	47464.73685
887	47456.50225
888	47436.69722
889	47433.52807
890	47428.62426
891	47424.73735
892	47416.03747
893	47399.38696
894	47391.9121
895	47389.17421
896	47373.32932
897	47366.39664
898	47341.06517
899	47328.4234
900	47314.8171
901	47310.36546
902	47301.09123
903	47298.03755
904	47291.1245
905	47287.76213
906	47280.66483
907	47271.57589
908	47262.07786
909	47250.3295
910	47242.91903
911	47238.8859
912	47226.44119
913	47217.79658
914	47213.97956
915	47211.37128
916	47204.38218
917	47197.21355
918	47194.36545
919	47192.34833
920	47189.1398
921	47178.6824
922	47174.14802
923	47171.33697
924	47168.70128
925	47147.41994
926	47133.34971
927	47131.15271
928	47127.97333
929	47119.19536
930	47110.92681
931	47102.15323
932	47095.79104
933	47091.8678
934	47084.33952
935	47076.44922
936	47073.35745
937	47066.90316
938	47064.30125
939	47053.43095
940	47046.36929
941	47039.65816
942	47035.23815
943	47030.91208
944	47020.92954
945	47013.85912
946	47008.53548
947	46997.84886
948	46984.01054
949	46966.88461
950	46959.41107
951	46947.26168
952	46943.89128
953	46939.83695
954	46938.70187
955	46930.33364
956	46924.21578
957	46919.1383
958	46904.20959
959	46891.43303
960	46887.62665
961	46878.50089
962	46873.40693
963	46866.80464
964	46862.26815
965	46851.14712
966	46845.43032
967	46837.27893
968	46827.49939
969	46816.25094
970	46812.26657
971	46808.24736
972	46806.79179
973	46782.68113
974	46779.93845
975	46767.2081
976	46754.70083
977	46751.04274
978	46748.05561
979	46742.36585
980	46737.9041
981	46735.4206
982	46719.77701
983	46705.32251
984	46682.29876
985	46675.07497
986	46666.99177
987	46647.62946
988	46645.42258
989	46639.87153
990	46637.56134
991	46632.21118
992	46625.6085
993	46619.86344
994	46615.71288
995	46609.35305
996	46606.15647
997	46599.8092
998	46594.5286
999	46582.80553
